year,fullname,firstname,lastname,position,Height,weight,fortyyd,vertical,broad,bench,college,nflgrade,round,pick
2014,Jadeveon Clowney,Jadeveon,Clowney,DE,6'5,266,4.53,37.5,124,21,South Carolina,7.5,1,1
2015,Leonard Williams,Leonard,Williams,DE,6'5,302,4.97,29.5,106,N/A,USC,7.4,1,6
2015,Amari Cooper,Amari,Cooper,WR,6'1,211,4.42,33,120,N/A,Alabama,7,1,4
2014,Sammy Watkins,Sammy,Watkins,WR,6'1,211,4.43,34,126,16,Clemson,7,1,4
2015,Shane Ray,Shane,Ray,DE,6'3,245,N/A,N/A,N/A,21,Missouri,6.8,1,23
2014,Greg Robinson,Greg,Robinson,OT,6'5,332,4.92,28.5,113,32,Auburn,6.8,1,2
2014,Khalil Mack,Khalil,Mack,OLB,6'3,251,4.65,40,128,23,Buffalo,6.7,1,5
2014,Jake Matthews,Jake ,Matthews,OT,6'5,308,5.07,30.5,105,24,Texas A&M,6.7,1,6
2014,Anthony Barr,Anthony,Barr,OLB,6'5,255,4.66,34.5,119,15,UCLA,6.6,1,9
2015,Jameis Winston,Jameis,Winston,QB,6'4,231,4.97,28.5,103,N/A,Florida St.,6.5,1,1
2014,C.J. Mosley,C.J.,Mosley,ILB,6'2,234,N/A,35,118,N/A,Alabama,6.5,1,17
2015,Landon Collins,Landon,Collins,SS,6'0,228,4.53,35,120,N/A,Alabama,6.4,2,33
2015,Randy Gregory,Randy,Gregory,OLB,6'5,235,4.64,36.5,125,24,Nebraska,6.4,2,60
2015,Marcus Mariota,Marcus,Mariota,QB,6'4,222,4.52,36,121,N/A,Oregon,6.4,1,2
2015,Brandon Scherff,Brandon,Scherff,OG,6'5,319,5.05,N/A,N/A,23,Iowa,6.4,1,5
2015,Danny Shelton,Danny,Shelton,NT,6'2,339,5.64,30.5,95,34,Washington,6.4,1,12
2014,Kelvin Benjamin,Kelvin,Benjamin,WR,6'5,240,4.61,32.5,119,13,Florida St.,6.4,1,28
2014,Blake Bortles,Blake,Bortles,QB,6'5,232,4.93,32.5,115,N/A,Central Florida,6.4,1,3
2014,Eric Ebron,Eric,Ebron,TE,6'4,250,4.6,32,120,24,North Carolina,6.4,1,10
2015,Todd Gurley,Todd,Gurley,RB,6'1,222,N/A,N/A,N/A,17,Georgia,6.3,1,10
2014,Teddy Bridgewater,Teddy,Bridgewater,QB,6'2,214,N/A,30,113,N/A,Louisville,6.3,1,32
2014,Justin Gilbert,Justin,Gilbert,CB,6'0,202,4.37,35.5,126,20,Oklahoma St.,6.3,1,8
2015,Arik Armstead,Arik,Armstead,DT,6'7,292,5.1,34,117,24,Oregon,6.2,1,17
2015,La'el Collins,La'el,Collins,OT,6'4,305,5.12,27,108,21,LSU,6.2,Undrafted,Undrafted
2015,Melvin Gordon,Melvin,Gordon,RB,6'1,215,4.52,35,126,19,Wisconsin,6.2,1,15
2015,DeVante Parker,DeVante,Parker,WR,6'3,209,4.45,36.5,125,17,Louisville,6.2,1,14
2015,Andrus Peat,Andrus,Peat,OT,6'7,313,5.18,31,105,N/A,Stanford,6.2,1,13
2015,Jordan Phillips,Jordan,Phillips,NT,6'5,329,5.17,30,105,28,Oklahoma,6.2,2,52
2015,Trae Waynes,Trae,Waynes,CB,6'0,186,4.31,38,122,19,Michigan St.,6.2,1,11
2015,Kevin White,Kevin,White,WR,6'3,215,4.35,36.5,123,23,West Virginia,6.2,1,7
2014,Mike Evans,Mike,Evans,WR,6'5,231,4.53,37,N/A,12,Texas A&M,6.2,1,7
2014,Carlos Hyde,Carlos,Hyde,RB,6'0,230,4.66,34.5,114,19,Ohio St.,6.2,2,57
2014,Marqise Lee,Marqise,Lee,WR,6'0,192,4.52,38,127,N/A,USC,6.2,2,39
2014,Taylor Lewan,Taylor,Lewan,OT,6'7,309,4.87,30.5,117,29,Michigan,6.2,1,11
2014,Calvin Pryor,Calvin,Pryor,FS,5'11,207,4.58,34.5,116,18,Louisville,6.2,1,18
2014,Ryan Shazier,Ryan,Shazier,OLB,6'1,237,N/A,42,130,25,Ohio St.,6.2,1,15
2014,Stephon Tuitt,Stephon,Tuitt,DE,6'5,304,N/A,N/A,N/A,31,Notre Dame,6.2,2,46
2015,Vic Beasley,Vic,Beasley,OLB,6'3,246,4.53,41,130,35,Clemson,6.1,1,8
2015,Malcom Brown,Malcom,Brown,DT,6'2,319,5.05,29.5,98,26,Texas,6.1,1,32
2015,T.J. Clemmings,T.J.,Clemmings,OT,6'5,309,5.14,32.5,111,22,Pittsburgh,6.1,4,110
2015,Tevin Coleman,Tevin,Coleman,RB,5'11,206,N/A,N/A,N/A,22,Indiana,6.1,3,73
2015,Jalen Collins,Jalen,Collins,CB,6'1,203,4.48,36,124,N/A,LSU,6.1,2,42
2015,Eddie Goldman,Eddie,Goldman,DT,6'4,336,N/A,N/A,N/A,N/A,Florida St.,6.1,2,39
2014,Ha Ha Clinton-Dix,Ha Ha,Clinton-Dix,FS,6'1,208,4.58,33,119,11,Alabama,6.1,1,21
2014,Ra'Shede Hageman,Ra'Shede,Hageman,DT,6'6,310,5.02,35.5,114,32,Minnesota,6.1,2,37
2014,Demarcus Lawrence,Demarcus,Lawrence,DE,6'3,251,4.8,34.5,113,20,Boise St.,6.1,2,34
2015,Jay Ajayi,Jay,Ajayi,RB,6'0,221,4.57,39,121,19,Boise St.,6,5,149
2015,Michael Bennett,Michael,Bennett,DT,6'2,293,N/A,N/A,N/A,N/A,Ohio St.,6,6,180
2015,A.J. Cann,A.J.,Cann,OG,6'3,313,N/A,N/A,N/A,26,South Carolina,6,3,67
2015,Paul Dawson,Paul,Dawson,ILB,6'0,235,4.93,28,109,21,TCU,6,3,99
2015,Ereck Flowers,Ereck,Flowers,OT,6'6,329,5.31,N/A,N/A,37,Miami,6,1,9
2015,Benardrick McKinney,Benardrick,McKinney,ILB,6'4,246,4.66,40.5,121,16,Mississippi St.,6,2,43
2015,Shaq Thompson,Shaq,Thompson,OLB,6'0,228,4.64,33.5,117,N/A,Washington,6,1,25
2015,P.J. Williams,P.J.,Williams,CB,6'0,194,4.57,40,132,12,Florida St.,6,3,78
2014,Davante Adams,Davante,Adams,WR,6'1,212,4.56,39.5,123,14,Fresno St.,6,2,53
2014,Gabe Jackson,Gabe,Jackson,OG,6'3,336,5.51,29,108,30,Mississippi St.,6,3,81
2014,Zack Martin,Zack,Martin,OT,6'4,308,N/A,28,106,29,Notre Dame,6,1,16
2014,Bradley Roby,Bradley,Roby,CB,5'11,194,4.39,38.5,124,17,Ohio St.,6,1,31
2015,Ameer Abdullah,Ameer,Abdullah,RB,5'9,205,4.6,42.5,130,24,Nebraska,5.9,2,54
2015,Carl Davis,Carl,Davis,DT,6'5,320,5.07,33,103,N/A,Iowa,5.9,3,90
2015,Bud Dupree,Bud,Dupree,OLB,6'4,269,4.56,42,138,N/A,Kentucky,5.9,1,22
2015,Eli Harold,Eli,Harold,OLB,6'3,247,4.6,35,123,N/A,Virginia,5.9,3,79
2015,Duke Johnson,Duke,Johnson,RB,5'9,207,4.54,33.5,121,N/A,Miami,5.9,3,77
2015,Kevin Johnson,Kevin,Johnson,CB,6'0,188,4.52,41.5,130,N/A,Wake Forest,5.9,1,16
2015,Cedric Ogbuehi,Cedric,Ogbuehi,OT,6'5,306,N/A,N/A,N/A,23,Texas A&M,5.9,1,21
2014,Odell Beckham,Odell,Beckham,WR,5'11,198,4.43,38.5,122,7,LSU,5.9,1,12
2014,Darqueze Dennard,Darqueze,Dennard,CB,5'11,199,4.51,N/A,N/A,15,Michigan St.,5.9,1,24
2014,Johnny Manziel,Johnny,Manziel,QB,6'0,207,4.68,31.5,113,N/A,Texas A&M,5.9,1,22
2014,Louis Nix,Louis,Nix,NT,6'2,331,5.42,25.5,97,N/A,Notre Dame,5.9,3,83
2015,Cameron Erving,Cameron,Erving,C,6'5,313,5.15,30.5,112,30,Florida St.,5.8,1,19
2015,Senquez Golson,Senquez,Golson,CB,5'9,176,4.46,33.5,120,15,Mississippi,5.8,2,56
2015,Rob Havenstein,Rob,Havenstein,OT,6'7,321,5.46,28.5,96,16,Wisconsin,5.8,2,57
2015,D.J. Humphries,D.J.,Humphries,OT,6'5,307,5.12,31,104,26,Florida,5.8,1,24
2015,Grady Jarrett,Grady,Jarrett,NT,6'1,304,5.06,31,112,30,Clemson,5.8,5,137
2015,Eric Kendricks,Eric,Kendricks,ILB,6'0,232,4.61,38,124,19,UCLA,5.8,2,45
2015,Hau'oli Kikaha,Hau'oli,Kikaha,OLB,6'2,253,N/A,N/A,N/A,N/A,Washington,5.8,2,44
2015,Nate Orchard,Nate,Orchard,DE,6'3,250,4.8,31.5,115,N/A,Utah,5.8,2,51
2015,Breshad Perriman,Breshad,Perriman,WR,6'2,212,N/A,N/A,N/A,N/A,Central Florida,5.8,1,26
2015,Marcus Peters,Marcus,Peters,CB,6'0,197,4.53,37.5,121,17,Washington,5.8,1,18
2015,Quinten Rollins,Quinten,Rollins,CB,5'11,195,4.57,36.5,122,14,Miami (OH),5.8,2,62
2015,Jaelen Strong,Jaelen,Strong,WR,6'2,217,4.44,42,123,N/A,Arizona State,5.8,3,70
2015,Maxx Williams,Maxx,Williams,TE,6'4,249,4.78,34.5,117,17,Minnesota,5.8,2,55
2014,Ka'Deem Carey,Ka'Deem,Carey,RB,5'9,207,4.7,32.5,115,19,Arizona,5.8,4,117
2014,Derek Carr,Derek,Carr,QB,6'2,214,4.69,34.5,110,N/A,Fresno St.,5.8,2,36
2014,Brandin Cooks,Brandin,Cooks,WR,5'10,189,4.33,36,120,16,Oregon St.,5.8,1,20
2014,Kony Ealy,Kony,Ealy,DE,6'4,273,4.92,31,114,22,Missouri,5.8,2,60
2014,Jeremy Hill,Jeremy,Hill,RB,6'1,233,4.66,29,113,20,LSU,5.8,2,55
2014,Cyrus Kouandjio,Cyrus,Kouandjio,OT,6'7,322,5.59,27.5,96,21,Alabama,5.8,2,44
2014,Tre Mason,Tre,Mason,RB,5'8,207,4.5,38.5,126,N/A,Auburn,5.8,3,75
2014,Donte Moncrief,Donte,Moncrief,WR,6'2,221,4.4,39.5,132,13,Mississippi,5.8,3,90
2014,Ed Stinson,Ed,Stinson,DE,6'3,287,N/A,N/A,N/A,N/A,Alabama,5.8,5,160
2014,Jason Verrett,Jason,Verrett,CB,5'9,189,4.38,39,128,N/A,TCU,5.8,1,25
2015,Phillip Dorsett,Phillip,Dorsett,WR,5'10,185,4.33,37,122,13,Miami,5.7,1,29
2015,Jake Fisher,Jake,Fisher,OT,6'6,306,5.01,32.5,N/A,25,Oregon,5.7,2,53
2015,Hroniss Grasu,Hroniss,Grasu,C,6'3,297,N/A,N/A,N/A,N/A,Oregon,5.7,3,71
2015,Dorial Green-Beckham,Dorial,Green-Beckham,WR,6'5,237,4.49,33.5,119,13,Missouri,5.7,2,40
2015,Rashad Greene,Rashad,Greene,WR,5'11,182,4.53,36.5,122,N/A,Florida St.,5.7,5,139
2015,Jarvis Harrison,Jarvis,Harrison,OG,6'4,330,5.19,29.5,102,26,Texas A&M,5.7,5,152
2015,Danielle Hunter,Danielle,Hunter,DE,6'5,252,4.57,N/A,N/A,25,LSU,5.7,3,88
2015,Tre' Jackson,Tre',Jackson,OG,6'4,330,5.52,25,96,N/A,Florida St.,5.7,4,111
2015,Lorenzo Mauldin,Lorenzo,Mauldin,OLB,6'4,259,4.85,32,112,23,Louisville,5.7,3,82
2015,Owamagbe Odighizuwa,Owamagbe,Odighizuwa,DE,6'3,267,4.62,39,127,25,UCLA,5.7,3,74
2015,Denzel Perryman,Denzel,Perryman,ILB,5'11,236,4.78,32,113,27,Miami,5.7,2,48
2015,Derron Smith,Derron,Smith,FS,5'10,200,N/A,N/A,N/A,N/A,Fresno St.,5.7,6,197
2015,Devin Smith,Devin,Smith,WR,6'0,196,4.42,39,122,10,Ohio St.,5.7,2,37
2015,Gabe Wright,Gabe,Wright,DT,6'3,300,5.07,26.5,100,34,Auburn,5.7,4,113
2015,T.J. Yeldon,T.J.,Yeldon,RB,6'1,226,4.61,36,117,22,Alabama,5.7,2,36
2014,Marqueston Huff,Marqueston,Huff,FS,5'11,196,4.49,35.5,118,15,Wyoming,5.7,4,122
2014,Allen Robinson,Allen,Robinson,WR,6'2,220,4.6,39,127,N/A,Penn St.,5.7,2,61
2015,Nelson Agholor,Nelson,Agholor,WR,6'0,198,4.42,N/A,N/A,12,USC,5.6,1,20
2015,Henry Anderson,Henry,Anderson,DE,6'6,294,5.03,30,111,N/A,Stanford,5.6,3,93
2015,Sammie Coates,Sammie,Coates,WR,6'1,212,4.43,41,131,23,Auburn,5.6,3,87
2015,Ronald Darby,Ronald,Darby,CB,5'11,193,4.38,41.5,129,12,Florida St.,5.6,2,50
2015,Stefon Diggs,Stefon,Diggs,WR,6'0,195,4.46,35,115,N/A,Maryland,5.6,5,146
2015,Lorenzo Doss,Lorenzo,Doss,CB,5'10,182,4.5,33.5,115,9,Tulane,5.6,5,164
2015,Ifo Ekpre-Olomu,Ifo,Ekpre-Olomu,CB,5'9,192,N/A,N/A,N/A,N/A,Oregon,5.6,7,241
2015,B.J. Finney,B.J.,Finney,C,6'4,318,5.25,24,99,20,Kansas St.,5.6,Undrafted,Undrafted
2015,Trey Flowers,Trey,Flowers,DE,6'2,266,4.93,36.5,121,28,Arkansas,5.6,4,101
2015,Devin Funchess,Devin,Funchess,WR,6'4,232,4.7,38.5,122,17,Michigan,5.6,2,41
2015,Marcus Hardison,Marcus,Hardison,DE,6'3,307,N/A,N/A,N/A,27,Arizona State,5.6,4,135
2015,Anthony Harris,Anthony,Harris,SS,6'1,183,4.56,N/A,N/A,N/A,Virginia,5.6,Undrafted,Undrafted
2015,Vince Mayle,Vince,Mayle,WR,6'2,224,4.67,35.5,117,N/A,Washington St.,5.6,4,123
2015,Ty Montgomery,Ty,Montgomery,WR,6'0,221,4.55,40.5,121,N/A,Stanford,5.6,3,94
2015,Bobby Richardson,Bobby,Richardson,DT,6'3,283,5.16,32.5,106,N/A,Indiana,5.6,Undrafted,Undrafted
2015,Ty Sambrailo,Ty,Sambrailo,OT,6'6,311,5.36,29,97,23,Colorado St.,5.6,2,59
2015,D'Joun Smith,D'Joun,Smith,CB,5'10,187,4.45,36,124,18,Florida Atlantic,5.6,3,65
2015,Preston Smith,Preston,Smith,DE,6'5,271,4.74,34,121,24,Mississippi St.,5.6,2,38
2015,Laken Tomlinson,Laken,Tomlinson,OG,6'3,323,5.33,31.5,103,25,Duke,5.6,1,28
2015,Clive Walford,Clive,Walford,TE,6'4,251,4.79,35,120,20,Miami,5.6,3,68
2015,Daryl Williams,Daryl,Williams,OT,6'5,327,5.34,26,97,27,Oklahoma,5.6,4,102
2014,Chris Borland,Chris ,Borland,ILB,5'11,248,4.83,31,114,27,Wisconsin,5.6,3,77
2014,Bashaud Breeland,Bashaud,Breeland,CB,5'11,197,4.62,34.5,123,11,Clemson,5.6,4,102
2014,Devonta Freeman,Devonta,Freeman,RB,5'8,206,4.58,31.5,118,N/A,Florida St.,5.6,4,103
2014,Seantrel Henderson,Seantrel,Henderson,OT,6'7,331,5.04,24,95,N/A,Miami,5.6,7,237
2014,Ja'Wuan James,Ja'Wuan,James,OT,6'6,311,5.34,29,103,22,Tennessee,5.6,1,19
2014,Timmy Jernigan,Timmy,Jernigan,NT,6'2,299,5.06,29.5,102,27,Florida St.,5.6,2,48
2014,Anthony Johnson,Anthony,Johnson,DT,6'2,308,5.24,24.5,102,20,LSU,5.6,2,36
2014,DaQuan Jones,DaQuan,Jones,DT,6'4,322,5.35,27.5,101,25,Penn St.,5.6,4,112
2014,Jarvis Landry,Jarvis,Landry,WR,5'11,205,4.77,28.5,110,12,LSU,5.6,2,63
2014,Craig Loston,Craig,Loston,SS,5'11,217,4.65,32.5,119,12,LSU,5.6,Undrafted,Undrafted
2014,Jordan Matthews,Jordan,Matthews,WR,6'3,212,4.46,35.5,120,21,Vanderbilt,5.6,2,42
2014,AJ McCarron,AJ,McCarron,QB,6'3,220,4.94,28,99,N/A,Alabama,5.6,Undrafted,Undrafted
2014,Daniel McCullers,Daniel,McCullers,DT,6'7,352,N/A,20.5,97,27,Tennessee,5.6,6,215
2014,Jack Mewhort,Jack,Mewhort,OT,6'6,309,5.37,26,101,28,Ohio St.,5.6,2,59
2014,Trent Murphy,Trent,Murphy,OLB,6'5,250,4.86,35.5,118,19,Stanford,5.6,2,47
2014,Troy Niklas,Troy,Niklas,TE,6'6,270,N/A,32,114,27,Notre Dame,5.6,2,52
2014,Rashaad Reynolds,Rashaad,Reynolds,CB,5'10,189,4.51,37.5,123,20,Oregon St.,5.6,Undrafted,Undrafted
2014,Antonio Richardson,Antonio ,Richardson,OT,6'6,336,5.3,24.5,N/A,36,Tennessee,5.6,Undrafted,Undrafted
2014,Xavier Su'a-Filo,Xavier,Su'a-Filo,OG,6'4,307,5.04,25,102,25,UCLA,5.6,2,33
2014,Will Sutton,Will,Sutton,DT,6'0,303,5.36,28.5,99,24,Arizona State,5.6,3,82
2014,John Urschel,John,Urschel,OG,6'3,313,5.31,29,102,30,Penn St.,5.6,5,175
2014,Kyle Van Noy,Kyle,Van Noy,OLB,6'3,243,4.71,32.5,112,21,BYU,5.6,2,40
2014,Andre Williams,Andre ,Williams,RB,5'11,230,4.56,38,129,N/A,Boston College,5.6,4,113
2015,Adrian Amos,Adrian,Amos,FS,6'0,218,4.56,35.5,122,N/A,Penn St.,5.5,5,142
2015,Dres Anderson,Dres,Anderson,WR,6'1,187,N/A,N/A,N/A,13,Utah,5.5,Undrafted,Undrafted
2015,Rory 'Busta' Anderson,Rory 'Busta',Anderson,TE,6'5,244,N/A,N/A,N/A,N/A,South Carolina,5.5,7,254
2015,Alex Carter,Alex,Carter,CB,6'0,196,4.51,40,121,17,Stanford,5.5,3,80
2015,David Cobb,David,Cobb,RB,5'11,229,4.81,38.5,121,17,Minnesota,5.5,5,138
2015,Chris Conley,Chris,Conley,WR,6'2,213,4.35,45,139,18,Georgia,5.5,3,76
2015,Rob Crisp,Rob,Crisp,OT,6'7,301,5.26,32.5,107,26,N.C. State,5.5,Undrafted,Undrafted
2015,Tyeler Davison,Tyeler,Davison,DT,6'2,316,5.18,33,105,32,Fresno St.,5.5,5,154
2015,Kurtis Drummond,Kurtis,Drummond,FS,6'1,208,4.65,39.5,119,N/A,Michigan St.,5.5,Undrafted,Undrafted
2015,Kyle Emanuel,Kyle,Emanuel,OLB,6'3,255,4.77,34,120,27,North Dakota St.,5.5,5,153
2015,Charles Gaines,Charles,Gaines,CB,5'10,180,4.44,34.5,123,N/A,Louisville,5.5,6,189
2015,Andy Gallik,Andy,Gallik,C,6'2,306,5.5,27,96,29,Boston College,5.5,6,208
2015,Markus Golden,Markus,Golden,DE,6'2,260,4.9,N/A,N/A,N/A,Missouri,5.5,2,58
2015,Antwan Goodley,Antwan,Goodley,WR,5'10,209,4.44,N/A,N/A,N/A,Baylor,5.5,Undrafted,Undrafted
2015,Gerod Holliman,Gerod,Holliman,FS,6'0,218,N/A,N/A,N/A,17,Louisville,5.5,7,239
2015,Brett Hundley,Brett,Hundley,QB,6'3,226,4.63,36,120,N/A,UCLA,5.5,5,147
2015,Tyler Lockett,Tyler,Lockett,WR,5'10,182,4.4,35.5,121,N/A,Kansas St.,5.5,3,69
2015,Josue Matias,Josue,Matias,OG,6'5,309,5.52,17.5,84,N/A,Florida St.,5.5,Undrafted,Undrafted
2015,John Miller,John,Miller,OG,6'2,303,5.33,27,104,29,Louisville,5.5,3,81
2015,Thomas Rawls,Thomas,Rawls,RB,5'9,215,4.65,35.5,116,15,Central Michigan,5.5,Undrafted,Undrafted
2015,DeAndre Smelter,DeAndre,Smelter,WR,6'2,226,N/A,N/A,N/A,N/A,Georgia Tech,5.5,4,132
2015,Za'Darius Smith,Za'Darius,Smith,DE,6'4,274,4.83,29,113,23,Kentucky,5.5,4,122
2015,Jaquiski Tartt,Jaquiski,Tartt,SS,6'1,221,4.53,N/A,124,N/A,Samford,5.5,2,46
2015,Tyrus Thompson,Tyrus,Thompson,OT,6'5,324,N/A,29,97,29,Oklahoma,5.5,6,185
2014,Jeremiah Attaochu,Jeremiah,Attaochu,OLB,6'3,252,N/A,N/A,N/A,N/A,Georgia Tech,5.5,2,50
2014,Joel Bitonio,Joel,Bitonio,OT,6'4,302,4.97,32,114,22,Nevada,5.5,2,35
2014,Ego Ferguson,Ego,Ferguson,DT,6'3,315,N/A,N/A,N/A,24,LSU,5.5,2,51
2014,C.J. Fiedorowicz,C.J.,Fiedorowicz,TE,6'5,265,4.76,31.5,116,25,Iowa,5.5,3,65
2014,Marcus Martin,Marcus,Martin,C,6'3,320,N/A,N/A,N/A,23,USC,5.5,3,70
2014,Austin Seferian-Jenkins,Austin,Seferian-Jenkins,TE,6'5,262,N/A,N/A,N/A,20,Washington,5.5,2,38
2014,Shayne Skov,Shayne,Skov,ILB,6'2,245,N/A,N/A,N/A,N/A,Stanford,5.5,Undrafted,Undrafted
2014,Travis Swanson,Travis,Swanson,C,6'5,312,5.28,26,95,20,Arkansas,5.5,3,76
2014,De'Anthony Thomas,De'Anthony,Thomas,RB,5'9,174,4.5,32,124,8,Oregon,5.5,4,124
2015,Kwon Alexander,Kwon,Alexander,OLB,6'1,227,4.55,36,121,24,LSU,5.4,4,124
2015,Stephone Anthony,Stephone,Anthony,ILB,6'3,243,4.56,37,122,23,Clemson,5.4,1,31
2015,Cameron Artis-Payne,Cameron,Artis-Payne,RB,5'10,212,4.53,36.5,118,N/A,Auburn,5.4,5,174
2015,Kenny Bell,Kenny,Bell,WR,6'1,197,4.42,41.5,129,7,Nebraska,5.4,5,162
2015,Xavier Cooper,Xavier,Cooper,DT,6'3,293,4.86,29,110,29,Washington St.,5.4,3,96
2015,Christian Covington,Christian,Covington,DT,6'2,289,N/A,N/A,N/A,N/A,Rice,5.4,6,216
2015,Jamison Crowder,Jamison,Crowder,WR,5'8,185,4.56,37,115,10,Duke,5.4,4,105
2015,Mike Davis,Mike,Davis,RB,5'9,217,4.61,34,116,17,South Carolina,5.4,4,126
2015,Titus Davis,Titus,Davis,WR,6'1,196,4.51,32.5,119,N/A,Central Michigan,5.4,Undrafted,Undrafted
2015,Andrew Donnal,Andrew,Donnal,OT,6'6,313,5.31,32,101,17,Iowa,5.4,4,119
2015,Mark Glowinski,Mark,Glowinski,OG,6'4,307,5.2,29.5,113,31,West Virginia,5.4,4,134
2015,Garrett Grayson,Garrett,Grayson,QB,6'2,213,N/A,N/A,N/A,N/A,Colorado St.,5.4,3,75
2015,Geneo Grissom,Geneo,Grissom,DE,6'3,262,4.81,37,117,20,Oklahoma,5.4,3,97
2015,Ladarius Gunter,Ladarius,Gunter,CB,6'1,202,4.69,33.5,108,12,Miami,5.4,Undrafted,Undrafted
2015,Justin Hardy,Justin,Hardy,WR,5'10,192,4.56,36.5,114,11,East Carolina,5.4,4,107
2015,Josh Harper,Josh,Harper,WR,6'1,191,4.64,32,108,13,Fresno St.,5.4,Undrafted,Undrafted
2015,Jeff Heuerman,Jeff,Heuerman,TE,6'5,254,N/A,N/A,N/A,26,Ohio St.,5.4,3,92
2015,Jordan Hicks,Jordan,Hicks,OLB,6'1,236,4.68,38,124,20,Texas,5.4,3,84
2015,Troy Hill,Troy,Hill,CB,5'10,182,4.55,32.5,120,N/A,Oregon,5.4,Undrafted,Undrafted
2015,Taiwan Jones,Taiwan,Jones,ILB,6'3,245,4.95,32,115,19,Michigan St.,5.4,4,125
2015,Ben Koyack,Ben,Koyack,TE,6'5,255,N/A,N/A,N/A,N/A,Notre Dame,5.4,7,229
2015,Tyler Kroft,Tyler,Kroft,TE,6'5,246,N/A,N/A,N/A,17,Rutgers,5.4,3,85
2015,Tony Lippett,Tony,Lippett,WR,6'2,192,4.61,36,114,10,Michigan St.,5.4,5,156
2015,Craig Mager,Craig,Mager,CB,5'11,201,4.44,38,130,17,Texas St.,5.4,3,83
2015,Greg Mancz,Greg,Mancz,C,6'4,301,N/A,N/A,N/A,N/A,Toledo,5.4,Undrafted,Undrafted
2015,Ali Marpet,Ali,Marpet,C,6'4,307,4.98,30.5,108,30,Hobart & William Smith,5.4,2,61
2015,Steven Nelson,Steven,Nelson,CB,5'10,197,4.49,34.5,115,19,Oregon St.,5.4,3,98
2015,Nick O'Leary,Nick,O'Leary,TE,6'3,252,4.93,30.5,110,21,Florida St.,5.4,6,194
2015,David Parry,David,Parry,NT,6'1,308,5.38,29,103,34,Stanford,5.4,5,151
2015,Darius Philon,Darius,Philon,DT,6'1,298,5,31,107,26,Arkansas,5.4,6,192
2015,Jeremiah Poutasi,Jeremiah,Poutasi,OG,6'5,335,5.32,26.5,95,26,Utah,5.4,3,66
2015,Hayes Pullard,Hayes,Pullard,ILB,6'0,240,4.78,31,110,19,USC,5.4,7,219
2015,Damarious Randall,Damarious,Randall,FS,5'11,196,4.46,38,120,14,Arizona State,5.4,1,30
2015,Eric Rowe,Eric,Rowe,FS,6'1,205,4.45,39,125,19,Utah,5.4,2,47
2015,Josh Shaw,Josh,Shaw,CB,6'0,201,4.44,37.5,130,26,USC,5.4,4,120
2015,JaCorey Shepherd,JaCorey,Shepherd,CB,5'11,199,N/A,N/A,N/A,14,Kansas,5.4,6,191
2015,J.R. Tavai,J.R.,Tavai,OLB,6'2,249,4.91,30.5,112,20,USC,5.4,Undrafted,Undrafted
2015,Max Valles,Max,Valles,OLB,6'5,251,4.83,36.5,121,N/A,Virginia,5.4,6,179
2015,Darren Waller,Darren,Waller,WR,6'6,238,4.46,37,125,12,Georgia Tech,5.4,6,204
2015,Leterrius Walton,Leterrius,Walton,DT,6'5,319,5.25,27,103,25,Central Michigan,5.4,6,199
2015,Ramik Wilson,Ramik,Wilson,ILB,6'2,237,4.77,35,111,23,Georgia,5.4,4,118
2014,Jace Amaro,Jace,Amaro,TE,6'5,265,4.74,33,118,28,Texas Tech,5.4,2,49
2014,Dri Archer,Dri,Archer,RB,5'8,173,4.26,38,122,20,Kent St.,5.4,3,97
2014,Lamin Barrow,Lamin,Barrow,OLB,6'1,237,4.64,35,123,22,LSU,5.4,5,156
2014,Tajh Boyd,Tajh,Boyd,QB,6'1,222,4.84,30.5,106,N/A,Clemson,5.4,6,213
2014,Preston Brown,Preston,Brown,ILB,6'1,251,4.86,33,116,23,Louisville,5.4,3,73
2014,Travis Carrie,Travis,Carrie,CB,6'0,206,N/A,N/A,N/A,17,Ohio,5.4,Undrafted,Undrafted
2014,Ross Cockrell,Ross,Cockrell,CB,6'0,191,4.56,36.5,122,10,Duke,5.4,4,109
2014,Brandon Coleman,Brandon,Coleman,WR,6'6,225,4.56,32.5,N/A,21,Rutgers,5.4,Undrafted,Undrafted
2014,Deandre Coleman,Deandre,Coleman,DT,6'5,314,N/A,N/A,N/A,24,California,5.4,Undrafted,Undrafted
2014,Scott Crichton,Scott,Crichton,DE,6'3,273,4.84,31.5,108,24,Oregon St.,5.4,3,72
2014,Aaron Donald,Aaron,Donald,DT,6'1,285,4.68,32,116,35,Pittsburgh,5.4,1,13
2014,Dakota Dozier,Dakota,Dozier,OT,6'4,313,5.42,24,101,23,Furman,5.4,4,137
2014,Bruce Ellington,Bruce,Ellington,WR,5'9,197,4.45,39.5,120,15,South Carolina,5.4,4,106
2014,Antone Exum,Antone,Exum,CB,6'0,213,4.59,35,117,17,Virginia Tech,5.4,6,182
2014,Dee Ford,Dee,Ford,DE,6'2,252,N/A,N/A,N/A,N/A,Auburn,5.4,1,23
2014,Kyle Fuller,Kyle,Fuller,CB,6'0,190,4.49,38.5,128,12,Virginia Tech,5.4,1,14
2014,Jimmy Garoppolo,Jimmy,Garoppolo,QB,6'2,226,4.97,30.5,110,N/A,Eastern Illinois,5.4,2,62
